pilot_order,video_id,primary_category,tags,title,url,processing_status,selection_score
1,7589749293205363633,后场技术,后场技术；发力与身体运用；握拍与基本动作；训练与纠错,后场框架应用 如果基础好，可以推荐出快速框架，之前发过很多爆发力出框架的作品！但是顶肘动作小带来效率的同时，也会因为顶肘动作小而削弱摆臂的幅度而失去力量！如果没有的专业力量的的朋友推荐第二种，但是要注意是拍低肘不低！不然会导致错误顶肘成为错误动作！ 总结，快速框架优点是容易做速度快效率高！缺点不好发力 动态低架优点是，容错率高，省力！缺点是不好学习 普通的架拍，优点是都能兼顾，缺点是该来不及的还是来不及#刘辉羽毛球 #羽毛球 #羽毛球教学 #羽毛球训练,https://www.douyin.com/video/7589749293205363633,待提取,20.0
2,7558912953539071292,后场技术,后场技术；训练与纠错,被动高远 别说这样容易抡大臂，不这样偷出来时间抢架拍位置也是个输，真被动就没时间侧身，没时间架拍，没空间做正常架拍了，所以大家总说职业选手不架拍，其实架了，只不过没做那么主动的架拍罢了#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练,https://www.douyin.com/video/7558912953539071292,待提取,18.36
3,7659348110628345210,后场技术,后场技术；单打战术；双打战术；训练与纠错；比赛分析,杀球瞄准 杀球瞄准 卢迦彧的杀球不是那种很重的，所以落点上就尤为重要，比赛中非常容易被防守反击!中间涉及到了张指导的肖像权，已经经过了前辈本人的同意!#羽毛球#羽毛球教学#刘辉羽毛球,https://www.douyin.com/video/7659348110628345210,待提取,16.5
4,7293716793221205283,后场技术,后场技术；训练与纠错,挥拍动作的大小和腰腹动作的大小有关，因为大臂要和身体相连，如果用主动前点的动作打被动高点的球，那就成高射炮了，球友通病#羽毛球 #羽毛球教学 #羽毛球训练 #刘辉羽毛球,https://www.douyin.com/video/7293716793221205283,待提取,16.0
5,7582017752145136945,发力与身体运用,发力与身体运用；握拍与基本动作；单打战术；训练与纠错,4.6万 升框架 童子功因为小时候没劲儿，训练量大了，通过本能就可以做出这样的升框架发力，职业选手在半场活动和拉吊中出现的比例更是高的惊人，不想误导新手，但是球友不知道也不行！因为这确实是合理的#羽毛球 #刘辉羽毛球 #羽毛球教学,https://www.douyin.com/video/7582017752145136945,待提取,16.21
6,7546109410041908538,发力与身体运用,发力与身体运用；训练与纠错,反手被动高远 虽然被动，但是放松发力更重要，别说示范的球不到位，也打出界一米了，主要是在底线摄像机放不下了#羽毛球 #刘辉羽毛球 #羽毛球训练 #羽毛球教学,https://www.douyin.com/video/7546109410041908538,待提取,15.57
7,7054025391601650948,发力与身体运用,发力与身体运用；双打战术；训练与纠错,双打一般情况下的防守上集，手指破了，挥速慢，望谅解#羽毛球教学 #羽毛球训练 #羽毛球 @抖音小助手,https://www.douyin.com/video/7054025391601650948,待提取,13.57
8,7067722128413543680,步法与移动,步法与移动；发力与身体运用；握拍与基本动作；训练与纠错,一定要3集看完再去练啊😂霸王杀就是尽可能的让动作最高效，爆发力最大化，出手快动作小，易衔接，重心摇摆小等特点，注意从引拍到击球为旋转发力，击球到动作结束为旋转卸力#羽毛球 #羽毛球训练 #羽毛球教学 @抖音小助手,https://www.douyin.com/video/7067722128413543680,待提取,17.57
9,7652440366436945017,步法与移动,步法与移动；训练与纠错,高速对抗步法 @与星星相拥 小姐姐是两省冠军🏆，这种情况属于高速对抗状态下，就是球都比较平，没有侧身的时间和意义#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练,https://www.douyin.com/video/7652440366436945017,待提取,15.79
10,7214304020775652620,步法与移动,步法与移动；握拍与基本动作；训练与纠错,动作，击球点，握拍，步法，对于反手滑板这种难度高的动作都不是最重要的，必会的决心才是最重要的#羽毛球 #羽毛球训练 #羽毛球教学 #刘辉羽毛球 @抖音小助手,https://www.douyin.com/video/7214304020775652620,待提取,13.57
11,7505345719160933692,网前技术,网前技术；发力与身体运用；双打战术；训练与纠错,网前摸摸术 双打最厉害的就是让球向下飞，并且对面还借不到力，不要觉得压不下去的发力厉害，对面都能反抽#刘辉羽毛球 #羽毛球 #羽毛球教学 #羽毛球训练,https://www.douyin.com/video/7505345719160933692,待提取,15.36
12,7406541084219821312,网前技术,网前技术；步法与移动；训练与纠错,正手网前步法 当然还要注意左手的摆放和重心的控制，但是时间有限，直播的时候讲吧#羽毛球 #羽毛球教学 #羽毛球训练 #刘辉羽毛球,https://www.douyin.com/video/7406541084219821312,待提取,14.57
13,7534955049426095419,网前技术,网前技术；训练与纠错,勾球 提高容错和质量才是实战的硬道理#刘辉羽毛球 #羽毛球 #羽毛球教学 #羽毛球训练,https://www.douyin.com/video/7534955049426095419,待提取,13.07
14,7475440958130097466,发球与接发,发球与接发；训练与纠错,1.5万 教学联动 我和彭教练用这样演绎的方式来讲发球的抓球思路，但是我本人叛逆者的形象是想告诉大家战术是固定的，人是活的，当对手变化我们如何应对#羽毛球 #羽毛球训练 #羽毛球教学 #刘辉羽毛球,https://www.douyin.com/video/7475440958130097466,待提取,15.0
15,7280727710740139264,发球与接发,发球与接发；后场技术；步法与移动；单打战术；训练与纠错,后场就是刻意练的被动步法，不是不积极，主要练回动的节奏感#羽毛球 #羽毛球教学 #羽毛球训练 #刘辉羽毛球 @艾迪宝羽毛球发球机,https://www.douyin.com/video/7280727710740139264,待提取,14.57
16,7072543702161296640,发球与接发,发球与接发；双打战术；训练与纠错,双打发球如何争取主动，就是规则高度内能拿多高拿多高，球能拿多前就拿多前😂#羽毛球 #羽毛球教学 #羽毛球训练 @抖音小助手,https://www.douyin.com/video/7072543702161296640,待提取,14.36
17,7614167503938610417,双打战术,双打战术；训练与纠错,双打实战轮转 无论训练时有多么默契，实战中都会有配合失误，那实战看的就是两个人的容错够不够#刘辉羽毛球#羽毛球 #羽毛球教学 #羽毛球训练,https://www.douyin.com/video/7614167503938610417,待提取,14.93
18,7246960976459730191,双打战术,双打战术；训练与纠错,孩子站位比较靠前，没发太深，正手被动区细节非常多，有时间再一一介绍#羽毛球 #羽毛球训练 #羽毛球教学 #刘辉羽毛球 @抖音小助手,https://www.douyin.com/video/7246960976459730191,待提取,11.64
19,7498830855188942137,双打战术,双打战术；训练与纠错,脚下站位 通过脚下的站位，去针对对手更有威胁，和回球概率更大的位置#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练,https://www.douyin.com/video/7498830855188942137,待提取,9.14
20,7405420818009722146,单打战术,单打战术；双打战术；训练与纠错,面试新教练 还好前两天恢复了下，新教练是强一级，刚拿了全国大学生第六，又有新伙伴啦，单双打都很厉害，性格也开朗#羽毛球 #羽毛球教学 #羽毛球训练 #羽毛球单打 #刘辉羽毛球,https://www.douyin.com/video/7405420818009722146,待提取,14.21
21,7376838935164505384,单打战术,单打战术；训练与纠错,单打技术 借用一下三位健将和我昔日对抗的素材，感谢@Ldj @张旌懿 @源式羽球 #羽毛球 #刘辉羽毛球 #羽毛球教学,https://www.douyin.com/video/7376838935164505384,待提取,14.21
22,7263668594196745487,握拍与基本动作,握拍与基本动作；训练与纠错,学会的动作实战中用不上，是因为缺少训练的过程，而这个过程的基础是框架的稳定#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练 @抖音小助手,https://www.douyin.com/video/7263668594196745487,待提取,14.93
23,7064372942880148777,握拍与基本动作,握拍与基本动作；训练与纠错,这个实战很行，击球点在额头前或上一个头的位置#羽毛球训练 #羽毛球 #羽毛球教学 @抖音小助手,https://www.douyin.com/video/7064372942880148777,待提取,13.36
24,7506736569824726332,中前场与抽挡,中前场与抽挡；训练与纠错,抽挡连贯 我知道有些兄弟很要强，受不了这种屈辱，就是不能承认被动，没关系，打羽毛球吧，它一定会教会你#羽毛球 #刘辉羽毛球 #羽毛球教学 #羽毛球训练,https://www.douyin.com/video/7506736569824726332,待提取,15.36
25,7166433980986756384,训练与纠错,训练与纠错,生活中很多事情都可以映射到动作中，可是反过来呢？一个行业那么多人，希望也能做到并存不悖，兼容并蓄，就算当一个愿望，也不能停止对这个愿望的追求，因为这样可以让热爱运动的人和孩子们受益，你们说呢？#羽毛球 #羽毛球教学 #羽毛球训练 #刘辉羽毛球 @抖音小助手,https://www.douyin.com/video/7166433980986756384,待提取,14.14
